record_id,rater_id,transcript_id,seed_id,guardrail,profile,comment
433,12,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: problém so zaspávaním. celkový obraz skôr imitioval vyhorenie s miernymi príznakmi depresie | missing_or_exaggerated: otázka na to, čo pacientke robí dobre, čo by potrebovala"
434,12,MDD-AI-SIMULATION-TX-0002,S02,G0,P1,"least_convincing: problém so zaspávaním | missing_or_exaggerated: otázka na to, čo by pacientka potrebovala, čo by jej pomohlo"
435,12,MDD-AI-SIMULATION-TX-0003,S03,G0,P1,least_convincing: Nekonzistencia muzskeho rodu pri otazke a zenskeho rodu pri odpovediach | missing_or_exaggerated: Nie
436,12,MDD-AI-SIMULATION-TX-0004,S04,G0,P1,"least_convincing: Zdoraznrnie, že nema umysrl si ublížiť | missing_or_exaggerated: Nie"
437,12,MDD-AI-SIMULATION-TX-0005,S05,G0,P1,"least_convincing: doslovný preklad z angličtiny, napr. ""nízka nálada"" = low mood
nesúlad v mužšsom a ženskom rode | missing_or_exaggerated: nie"
438,12,MDD-AI-SIMULATION-TX-0006,S06,G0,P1,least_convincing: nič | missing_or_exaggerated: nie
439,12,MDD-AI-SIMULATION-TX-0007,S07,G0,P1,least_convincing: nič | missing_or_exaggerated: nič
440,12,MDD-AI-SIMULATION-TX-0008,S08,G0,P1,least_convincing: nič | missing_or_exaggerated: nič
505,10,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: Otázka za otázkou,  za mňa osobne, klient sa mohol cítiť ako na ""výsluchu"", chýba možno viac náklonnosti a zo strany odborníka aby sa klient cítil pochopený a bezpečne v rámci vzťahu. | missing_or_exaggerated: Otázky miestami pôsobili ako keby mali ""mechanický charakter""."
649,13,MDD-AI-SIMULATION-TX-0001,S01,G0,P1,"least_convincing: Participantka pomerne dobre naskočila na štruktúru rozhovoru a nemala obzvlášť veľkú tendenciu rozvinúť rozhovor svojím smerom, hoci jej odpovede boli úplné, vždy smerovali k položenej otázke. | missing_or_exaggerated: Interviewer sa nespýtal či takéto ťažkosti vo svojom živote rozpoznáva, či sa to participantovi už niekedy v minulosti stalo pri väčšej záťaži. Na základe tohto rozhovoru by som bola skôr opatrná s vyjadrením diagnózy depresie."
650,13,MDD-AI-SIMULATION-TX-0002,S02,G0,P1,"least_convincing: V jednej z odpovedí ku koncu rozhovoru boli neznáme znaky. | missing_or_exaggerated: Niektoré otázky pôsobili sugestívne, čo vyvolávalo dojem, že participant si tú zmenu všimol len na základe upozornenia interviewera."
651,13,MDD-AI-SIMULATION-TX-0003,S03,G0,P1,"least_convincing: Možno ten koniec rozhovoru, kedy participantka odpovedala, že nemá plán ani úmysel trochu uberá na vierohodnosti. | missing_or_exaggerated: Neprimerane pôsobil koniec rozhovoru, kedy participantkina odpoveďou pôsobila trochu zvláštne."
652,13,MDD-AI-SIMULATION-TX-0004,S04,G0,P1,"least_convincing: V úvode rozhovoru participantove odpovede pôsobili zmätočne - menej sa zapája, no nie je to vidieť. Pôsobí to zvláštne, nepresvedčivo. | missing_or_exaggerated: Chýbalo overenie či je to naozaj depresivitou alebo by to mohlo byť i niečo iné."
653,13,MDD-AI-SIMULATION-TX-0005,S05,G0,P1,"least_convincing: Typ odpovede pôsobí ako preložený z cudzieho jazyka. V slovenčine sa niektoré zvraty bežne nepoužívajú takto. Porozumie im druhý, no pôsobí to divne. | missing_or_exaggerated: Toto sa týka asi zatiaľ každého rozhovoru a to, či sa niečo  v tom obdobím pred x týždňami stalo."
654,13,MDD-AI-SIMULATION-TX-0006,S06,G0,P1,"least_convincing: V časti, kde je participant dotazovaný na náladu spomenie, že nevybuchuje, že má ťažkú náladu. | missing_or_exaggerated: Viac by som sa popýtala na to či sa vo svojom živote nepreťažoval."
655,13,MDD-AI-SIMULATION-TX-0007,S07,G0,P1,"least_convincing: Koniec rozhovoru kedy participantka vraví že sa musí vracať skontrolovať či niečo dokončila, to by mohlo naznačovať možno iný klinický obraz a zbytočne zmiasť. | missing_or_exaggerated: Nič."
656,13,MDD-AI-SIMULATION-TX-0008,S08,G0,P1,least_convincing: Participant si vravel v ženskom aj mužskom rode. | missing_or_exaggerated: Chýbalo overenie iného zdravotného problému.
657,13,MDD-AI-SIMULATION-TX-0009,S09,G0,P1,"least_convincing: Ťažkosti klientky pôsobia, že majú príčinu len v pracovnej oblasti. | missing_or_exaggerated: Nič."
658,13,MDD-AI-SIMULATION-TX-0010,S10,G0,P1,least_convincing: Nič. | missing_or_exaggerated: Nič.
659,13,MDD-AI-SIMULATION-TX-0011,S11,G0,P1,"least_convincing: Koniec rozhovoru, kedy sa interviewer pýta na myšlienky na samovraždu, participantka odpovedá aj o úmysle. Uberá to na prirodzenosti. | missing_or_exaggerated: Nič nebolo prehnané."
660,13,MDD-AI-SIMULATION-TX-0012,S12,G0,P1,least_convincing: Začiatok rozhovoru bol skvelý. Ku koncu to spelo k automatizmom. | missing_or_exaggerated: Nič nepôsobilo neprimerane.
661,13,MDD-AI-SIMULATION-TX-0013,S01,G1,P3,"least_convincing: Participanti sú v týchto rozhovoroch zhovorčiví v zmysle, že poskytnú úplnú odpoveď. Znižuje to vierohodnosť obzvlášť v depresívnej symptomatike. | missing_or_exaggerated: Nič, okrem už predtým spomenutého."
662,13,MDD-AI-SIMULATION-TX-0014,S01,G0,P2,"least_convincing: Prirodzenosť znižuje rozpor kedy participantka vraví že je to iné ako bežná únava a na konci rozhovoru povie že je vlastne len preťažená. | missing_or_exaggerated: Možno by bolo fajn doplniť v odpovediach či sa vedia ráno prebudiť alebo je to náročné. Pomerne veľký fokus je na zaspávanie a kvalitu spánku, avšak aj zobúdzanie by tam malo mať svoje miesto."
663,13,MDD-AI-SIMULATION-TX-0015,S02,G0,P2,"least_convincing: Pri tomto rozhovore vnímam určitú sugestivitu, čo ale pozorujem skôr na odpovediach participanta. | missing_or_exaggerated: Zameranie sa na to kam mu utekajú myšlienky."
664,13,MDD-AI-SIMULATION-TX-0016,S03,G0,P2,least_convincing: Nič. | missing_or_exaggerated: Dosiaľ v rozhovoroch chýba pohľad na prežívanie sexuality.
665,13,MDD-AI-SIMULATION-TX-0017,S04,G0,P2,least_convincing: Slabší presah naprieč životom klienta. Orientácia hlavne akoby na vyčerpanej. | missing_or_exaggerated: Nič.
666,13,MDD-AI-SIMULATION-TX-0018,S05,G0,P2,least_convincing: Depresevita slabo viditeľná. | missing_or_exaggerated: Nič.
667,13,MDD-AI-SIMULATION-TX-0019,S06,G0,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
668,13,MDD-AI-SIMULATION-TX-0020,S07,G0,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
669,13,MDD-AI-SIMULATION-TX-0021,S08,G0,P2,"least_convincing: V úvode klient pôsobil depresívnejšie ako na konci, kedy sa tento pocit  z klienta stratil. | missing_or_exaggerated: Dopad na vzťahy, na prácu."
670,13,MDD-AI-SIMULATION-TX-0022,S09,G0,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
671,13,MDD-AI-SIMULATION-TX-0023,S10,G0,P2,"least_convincing: Participantove odpovede na prvé pozretie pôsobili ako obsiahle, no ich obsah bol vágny. Málo výpovedný. | missing_or_exaggerated: Nič."
672,13,MDD-AI-SIMULATION-TX-0024,S11,G0,P2,least_convincing: Nič. | missing_or_exaggerated: Nič nepôsobilo prehnane.
673,13,MDD-AI-SIMULATION-TX-0025,S12,G0,P2,"least_convincing: Nič konkrétne, skôr dojem z participanta, ktorého ťažkosti mohli byť aj úzkostného charakteru. | missing_or_exaggerated: Väčší dôraz na ťažbu života."
674,13,MDD-AI-SIMULATION-TX-0026,S01,G0,P3,least_convincing: Nič. | missing_or_exaggerated: Nič.
675,13,MDD-AI-SIMULATION-TX-0027,S02,G0,P3,"least_convincing: Rozhovor je v participantove časti obohatený o viac hovorových prvkov, čo pôsobí viac vierohodne. | missing_or_exaggerated: Sexualita."
676,13,MDD-AI-SIMULATION-TX-0028,S03,G0,P3,"least_convincing: Rozhovor pôsobil menej vierohodne kvôli preklepom. | missing_or_exaggerated: Prehnane pôsobí, že participantka vraví aj o pláne aj o úmysle, zatiaľčo interviewer sa pýta len ma myšlienky."
677,13,MDD-AI-SIMULATION-TX-0029,S04,G0,P3,"least_convincing: Najmenej presvedčivé sú odpovede, kedy participant vyjadruje počet týždňov. Ak by sa vyjadril len neurčito posledné týždne, alebo napr mesiac, pôsobí to vierohodnejsie ako 7 týždňov. | missing_or_exaggerated: A keď už povie 7 týždňov, vedie ma to k otázke či sa pred 7 týždňami niečo významné neudialo, táto otázka tam chýba."
678,13,MDD-AI-SIMULATION-TX-0030,S05,G0,P3,"least_convincing: Keď sa participantka vyjadrila, že sa to týka hlavne peňazí. | missing_or_exaggerated: Nič, možno dopýtanie sa na niektoré témy, ktoré participantka otvorila."
679,13,MDD-AI-SIMULATION-TX-0031,S06,G0,P3,least_convincing: Nič. | missing_or_exaggerated: V časti o spánku by som sa dopýtala na sny. Či sa mu sníva.
680,13,MDD-AI-SIMULATION-TX-0032,S07,G0,P3,"least_convincing: Spím ľahšie sa nie veľmi používa. Môže to miasť akoby ten problém so spánkom nebol. Mám ľahký spánok už je viac výpovedné. | missing_or_exaggerated: Prehnane pôsobí že participantka opakuje určité spojenia v odpovediach, ktoré to úplne nevyžadujú. Opakuje sa “ som ťažká a beh ťahu”"
681,13,MDD-AI-SIMULATION-TX-0033,S08,G0,P3,least_convincing: Príliš veľké zameranie na únavu bez sprievodných symptómov. | missing_or_exaggerated: Viac zistiť o nálade.
682,13,MDD-AI-SIMULATION-TX-0034,S09,G0,P3,least_convincing: Nič. | missing_or_exaggerated: Nič.
683,13,MDD-AI-SIMULATION-TX-0035,S10,G0,P3,least_convincing: Ploché voľnočasové záujmy. | missing_or_exaggerated: Viac opisu fyzických prejavov depresivity.
684,13,MDD-AI-SIMULATION-TX-0036,S11,G0,P3,"least_convincing: Nič. | missing_or_exaggerated: Či je absencia práce súčasťou symptomatiky - ako o ňu prišla,  kedy, dôvod."
685,13,MDD-AI-SIMULATION-TX-0037,S12,G0,P3,least_convincing: Uhladenosť prejavu participanta. | missing_or_exaggerated: Nič.
686,13,MDD-AI-SIMULATION-TX-0038,S01,G1,P1,least_convincing: Nič | missing_or_exaggerated: Hlbší vhľad do sveta participantky.
687,13,MDD-AI-SIMULATION-TX-0039,S02,G1,P1,least_convincing: Absencia hovorovej slovenčiny. Potom rozhovor pôsobí viac vymyslene a menej prežívane. | missing_or_exaggerated: Nič.
688,13,MDD-AI-SIMULATION-TX-0040,S03,G1,P1,"least_convincing: Nič. | missing_or_exaggerated: Porovnávanie sa s druhými a z toho pocity menejcennosti, neschopnosti a následne výčitky."
689,13,MDD-AI-SIMULATION-TX-0041,S04,G1,P1,"least_convincing: Nič. | missing_or_exaggerated: Väčší dôraz na prežívanie vzťahov, na fyzické prejavy depresie, na sexualitu."
690,13,MDD-AI-SIMULATION-TX-0042,S05,G1,P1,least_convincing: Nič. | missing_or_exaggerated: Overovanie predpokladu.
691,13,MDD-AI-SIMULATION-TX-0043,S06,G1,P1,"least_convincing: Participant je pomerne výrečný. Používa rozvité vety, celkovo rozvíja svoje odpovede aj na jednoduchšie otázky. | missing_or_exaggerated: Nič."
692,13,MDD-AI-SIMULATION-TX-0044,S07,G1,P1,least_convincing: Interviewer je veľmi štruktúrovaný. | missing_or_exaggerated: Rozhovor je príliš štruktúrovaný.
693,13,MDD-AI-SIMULATION-TX-0045,S08,G1,P1,"least_convincing: Orientácia hlavne ma energiu, únavu… | missing_or_exaggerated: Nič."
694,13,MDD-AI-SIMULATION-TX-0046,S09,G1,P1,"least_convincing: Pocity vnútorného napätia, zlyhávania. Popísané vierohodne no celkový obraz pôsobí ako symptomatika inej psychopatológie. | missing_or_exaggerated: Akoby ten obraz nebol komplexný, len taký roztrúsený."
695,13,MDD-AI-SIMULATION-TX-0047,S10,G1,P1,"least_convincing: Odpovede pôsobia ako naučené, viac strojené. | missing_or_exaggerated: Nič."
696,13,MDD-AI-SIMULATION-TX-0048,S11,G1,P1,least_convincing: Nič. | missing_or_exaggerated: Nič.
697,13,MDD-AI-SIMULATION-TX-0049,S12,G1,P1,"least_convincing: Niektoré slovné zvraty pôsobia neprirodzene… napr idem len zo zodpovednosti. | missing_or_exaggerated: Zameranie na viac oblastí života, nielen na výkon."
698,13,MDD-AI-SIMULATION-TX-0050,S01,G1,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
699,13,MDD-AI-SIMULATION-TX-0051,S02,G1,P2,"least_convincing: Slovné zvraty, ktoré sa bežne v hovorovej reči nepoužívajú. | missing_or_exaggerated: Nič."
700,13,MDD-AI-SIMULATION-TX-0052,S03,G1,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
701,13,MDD-AI-SIMULATION-TX-0053,S04,G1,P2,least_convincing: Väčšie zameranie na vnútorný nepokoj. | missing_or_exaggerated: Nechýbalo nič.
702,13,MDD-AI-SIMULATION-TX-0054,S05,G1,P2,"least_convincing: Niektoré slovné zvraty sa nepoužívajú v takejto forme a znižuje to vierohodnosť a prirodzenosť participantových vyjadrení. | missing_or_exaggerated: Overenie participantových slov, väčšia hĺbka pomocou dopýtania sa."
703,13,MDD-AI-SIMULATION-TX-0055,S06,G1,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
704,13,MDD-AI-SIMULATION-TX-0056,S07,G1,P2,"least_convincing: Niektoré zvraty slov alebo vety, napr najhoršie sú rana a potom sa to už vlečie. Vlečie pôsobí v tomto kontexte zmätočne. | missing_or_exaggerated: Nič."
705,13,MDD-AI-SIMULATION-TX-0057,S08,G1,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
706,13,MDD-AI-SIMULATION-TX-0058,S09,G1,P2,least_convincing: Pasáže o vnútornom napätí mierne zvyšujú úvahy o inej psychopatologii. | missing_or_exaggerated: Nič.
707,13,MDD-AI-SIMULATION-TX-0059,S10,G1,P2,"least_convincing: Vierohodnosti uberajú vyjadrenia participanta, ktoré miestami pôsobia zvláštne. | missing_or_exaggerated: Nič."
708,13,MDD-AI-SIMULATION-TX-0060,S11,G1,P2,least_convincing: Nič. | missing_or_exaggerated: Nič.
709,13,MDD-AI-SIMULATION-TX-0061,S12,G1,P2,"least_convincing: Výber slov participanta sa zlepšil, no stále sú prítomné slovné zvraty, ktoré sa bežne nepoužívajú. | missing_or_exaggerated: Oblasť sexuality."
710,13,MDD-AI-SIMULATION-TX-0062,S02,G1,P3,"least_convincing: Na začiatku rozhovoru bol participant viac úsporný vo vyjadreniach, co poskytlo nejaký rámec vierohodnosti. Potom sa viac “rozkecal”, no nepôsobilo to presvedčivo. Akoby to tá nepatrí. | missing_or_exaggerated: Nič."
711,13,MDD-AI-SIMULATION-TX-0063,S03,G1,P3,least_convincing: Nič. | missing_or_exaggerated: Nič.
712,13,MDD-AI-SIMULATION-TX-0064,S04,G1,P3,least_convincing: Záver rozhovoru bol mätúci. | missing_or_exaggerated: Nič.
713,13,MDD-AI-SIMULATION-TX-0065,S05,G1,P3,"least_convincing: V časti, kde sa rozhovor zvrtol na konkrétnosť obáv to pôsobilo ako iná psychopatologia. | missing_or_exaggerated: Nič."
714,13,MDD-AI-SIMULATION-TX-0066,S06,G1,P3,least_convincing: Niektoré odpovede boli zvláštne formulované. | missing_or_exaggerated: Nič.
715,13,MDD-AI-SIMULATION-TX-0067,S07,G1,P3,"least_convincing: Nič. | missing_or_exaggerated: Trochu mi chýbalo zasadenie do reality životy klietky, porovnanie a pohľadom jej okolia."
716,13,MDD-AI-SIMULATION-TX-0068,S08,G1,P3,"least_convincing: Nič. | missing_or_exaggerated: Viaceré prvky boli skôr jemné, opakom prehnaného."
